step,x,y,reward
0,0.000000,0.000000,0.000000
1,0.000000,0.000000,0.000000
2,0.195104,0.000000,0.000000
3,1.049361,0.953331,0.000000
4,1.190418,0.953331,0.000000
5,1.154394,0.603513,0.000000
6,1.757233,0.982288,0.000000
7,2.727163,0.982288,0.000000
8,3.095546,0.757082,0.000000
9,3.464068,0.358438,0.000000
10,3.234322,0.032426,0.000000
11,3.698640,0.271407,0.000000
12,2.799919,0.034874,0.000000
13,3.323581,0.722726,0.000000
14,3.519140,0.973183,0.000000
15,2.948844,0.003803,0.000000
16,3.917878,0.003803,0.000000
17,4.821709,0.001817,0.000000
18,4.123156,0.001817,0.000000
19,4.243692,0.001817,0.000000
20,3.833039,0.744966,0.000000
21,4.777369,0.532609,0.000000
22,4.736572,0.987679,0.000000
23,4.474949,0.384563,0.000000
24,4.058345,0.816362,0.000000
25,4.332353,0.965497,0.000000
26,4.845942,0.965497,0.000000
27,4.994522,0.965497,0.000000
28,4.377357,0.534922,0.000000
29,4.896125,0.738867,0.000000
30,5.413039,0.978760,0.000000
31,5.408623,0.978760,0.000000
32,4.987441,0.978760,0.000000
33,5.874856,0.011992,0.000000
34,5.390031,0.011992,0.000000
35,5.746382,0.011992,0.000000
36,6.607357,0.387147,0.000000
37,6.721349,1.216663,0.000000
38,6.813166,1.154010,0.000000
39,6.976450,1.196158,0.000000
40,6.095006,1.470634,0.000000
41,5.837326,2.221105,0.000000
42,5.600730,2.952522,0.000000
43,5.036988,2.987158,0.000000
44,4.485352,2.788097,0.000000
45,4.034063,3.003112,0.000000
46,4.034063,3.729158,0.000000
47,4.034063,2.807331,0.000000
48,4.034063,2.324287,0.000000
49,4.005973,2.926200,0.000000
50,4.005973,3.873217,0.000000
51,0.000000,0.000000,0.000000
1,0.823202,0.021357,0.000000
2,1.213944,0.006379,0.000000
3,1.563470,0.006379,0.000000
4,2.302475,0.039409,0.000000
5,2.347274,0.637539,0.000000
6,2.190547,0.986130,0.000000
7,2.167351,0.986130,0.000000
8,1.711858,0.411991,0.000000
9,2.566827,0.066208,0.000000
10,2.432007,0.622150,0.000000
11,2.918050,0.103154,0.000000
12,2.983442,0.890878,0.000000
13,3.502389,0.542885,0.000000
14,3.136369,0.470104,0.000000
15,3.165416,0.993999,0.000000
16,4.008544,0.993999,0.000000
17,4.575598,0.663632,0.000000
18,5.204269,0.038585,0.000000
19,4.646103,0.038585,0.000000
20,4.270186,0.038585,0.000000
21,5.261939,0.038585,0.000000
22,4.552572,0.031484,0.000000
