step,x,y,reward
0,0.000000,0.000000,0.000000
1,0.536670,0.913408,0.000000
2,0.199021,0.489669,0.000000
3,1.166314,0.828842,0.000000
4,1.846194,0.072573,0.000000
5,2.650939,0.211555,0.000000
6,1.940616,0.016793,0.000000
7,2.427384,0.775511,0.000000
8,1.566035,0.298484,0.000000
9,2.257701,0.015981,0.000000
10,1.329620,0.015981,0.000000
11,1.766431,0.015981,0.000000
12,1.538512,0.015981,0.000000
13,1.028015,0.015981,0.000000
14,0.179569,0.230998,0.000000
15,0.014970,0.055756,0.000000
16,0.020654,0.962222,0.000000
17,0.244720,0.962222,0.000000
18,0.045282,0.990903,0.000000
19,0.004193,0.073839,0.000000
20,0.854184,0.739837,0.000000
21,0.568049,0.995767,0.000000
22,1.258760,0.364763,0.000000
23,1.103909,0.608063,0.000000
24,1.154094,0.978896,0.000000
25,1.461206,0.978896,0.000000
26,2.219358,0.978896,0.000000
27,1.841170,0.178338,0.000000
28,2.099014,0.016722,0.000000
29,1.855778,0.584355,0.000000
30,2.592369,0.238710,0.000000
31,2.991381,0.008521,0.000000
32,3.251640,0.743361,0.000000
33,2.727738,0.976603,0.000000
34,2.095400,0.628286,0.000000
35,2.371875,0.985524,0.000000
36,2.124630,0.985524,0.000000
37,1.499325,0.985524,0.000000
38,1.940931,0.629434,0.000000
39,1.850696,0.035631,0.000000
40,2.036690,0.160366,0.000000
41,2.843874,0.886279,0.000000
42,2.974773,0.963279,0.000000
43,3.905360,0.996209,0.000000
44,3.969627,0.767817,0.000000
45,4.862315,0.149009,0.000000
46,5.372699,0.444081,0.000000
47,6.186019,0.124427,0.000000
48,6.357544,0.306303,0.000000
49,6.585373,0.067546,0.000000
50,7.351226,0.748248,0.000000
51,0.000000,0.000000,0.000000
1,0.064627,0.413068,0.000000
2,0.064627,0.942388,0.000000
3,0.259727,0.988952,0.000000
4,0.051357,0.988952,0.000000
5,0.464889,0.059400,0.000000
6,0.947896,0.778732,0.000000
7,1.014812,0.449064,0.000000
8,1.867596,0.075102,0.000000
9,1.102399,0.023017,0.000000
10,0.639341,0.873452,0.000000
11,0.010474,0.987677,0.000000
12,0.953966,0.676831,0.000000
13,0.300076,0.990986,0.000000
14,0.401201,0.002021,0.000000
15,0.294424,0.191285,0.000000
16,1.280430,0.005753,0.000000
17,1.003652,0.114387,0.000000
18,1.885375,0.008990,0.000000
19,1.534477,0.647135,0.000000
20,1.869805,0.976949,0.000000
21,1.038384,0.283772,0.000000
22,1.135886,0.008000,0.000000
23,1.933035,0.131133,0.000000
24,2.570028,0.357909,0.000000
25,2.209948,0.034985,0.000000
26,1.248107,0.034985,0.000000
27,1.270953,0.034985,0.000000
28,1.750624,0.769217,0.000000
29,2.139745,0.938469,0.000000
30,2.774162,0.971638,0.000000
31,2.220353,0.184772,0.000000
32,2.658427,0.203585,0.000000
33,2.021673,0.020470,0.000000
34,1.321073,0.917670,0.000000
35,1.916099,0.991903,0.000000
36,2.653232,0.123574,0.000000
37,3.297807,0.460259,0.000000
38,3.356673,0.945103,0.000000
39,2.893412,0.106365,0.000000
40,3.338059,0.026783,0.000000
