step,x,y,reward
0,0.000000,0.000000,0.000000
1,0.061963,0.731896,0.000000
2,0.061963,0.680120,0.000000
3,0.906375,0.089896,0.000000
4,1.337319,0.995397,0.000000
5,1.634009,0.231925,0.000000
6,1.885823,0.310360,0.000000
7,1.338438,0.974491,0.000000
8,0.582473,0.994211,0.000000
9,0.081459,0.195457,0.000000
10,0.006601,0.835973,0.000000
11,0.673310,0.076881,0.000000
12,1.658176,0.778217,0.000000
13,1.804162,0.087012,0.000000
14,1.979270,0.036971,0.000000
15,2.464240,0.036971,0.000000
16,1.805103,0.003761,0.000000
17,1.689058,0.971154,0.000000
18,2.433238,0.679609,0.000000
19,2.487999,0.068979,0.000000
20,1.530415,0.010143,0.000000
21,1.167167,0.686909,0.000000
22,0.574011,0.609644,0.000000
23,0.590494,0.656091,0.000000
24,0.546047,0.504573,0.000000
25,1.458764,0.052800,0.000000
26,2.006802,0.320984,0.000000
27,1.030441,0.263847,0.000000
28,1.301317,0.950448,0.000000
29,0.878961,0.950448,0.000000
30,1.826493,0.618531,0.000000
31,1.102562,0.947535,0.000000
32,0.391312,0.145125,0.000000
33,1.131430,0.017460,0.000000
34,0.912542,0.017460,0.000000
35,0.168249,0.495844,0.000000
36,0.051379,0.940921,0.000000
37,0.297830,0.192178,0.000000
38,0.002318,0.381185,0.000000
39,0.046466,0.384433,0.000000
40,0.046466,0.596720,0.000000
41,0.548521,0.680582,0.000000
42,0.888309,0.218635,0.000000
43,0.930518,0.220536,0.000000
44,0.601637,0.959079,0.000000
45,0.637687,0.620520,0.000000
46,0.018485,0.299342,0.000000
47,0.547812,0.025670,0.000000
48,0.177544,0.845140,0.000000
49,0.280577,0.090511,0.000000
50,0.585257,0.597670,0.000000
51,0.000000,0.000000,0.000000
1,0.124523,0.000000,0.000000
2,1.010337,0.815639,0.000000
3,1.863505,0.077407,0.000000
4,0.963628,0.077407,0.000000
5,1.702119,0.905681,0.000000
6,1.615619,0.155084,0.000000
7,2.495967,0.777584,0.000000
8,2.071171,0.289877,0.000000
9,2.346627,0.924732,0.000000
10,2.063876,0.142560,0.000000
11,1.087070,0.062150,0.000000
12,1.233776,0.262500,0.000000
13,0.307281,0.945325,0.000000
14,0.711422,0.670519,0.000000
15,0.780509,0.820440,0.000000
16,1.666525,0.982936,0.000000
17,2.289633,0.246969,0.000000
18,2.151875,0.990638,0.000000
19,1.574785,0.035027,0.000000
20,1.151775,0.035027,0.000000
21,1.392264,0.635361,0.000000
22,1.968438,0.049894,0.000000
23,1.591721,0.011755,0.000000
24,1.971265,0.011755,0.000000
25,1.551419,0.333764,0.000000
26,2.403221,0.000038,0.000000
27,3.231380,0.770083,0.000000
28,3.321629,0.072464,0.000000
29,3.496083,0.325541,0.000000
30,2.796013,0.030480,0.000000
31,3.538368,0.030480,0.000000
32,4.431262,0.012517,0.000000
33,4.490566,0.297170,0.000000
34,4.360571,0.038108,0.000000
35,3.822936,0.001712,0.000000
36,4.584226,0.001712,0.000000
37,4.833251,0.001712,0.000000
38,4.543248,0.001712,0.000000
39,5.220342,0.239437,0.000000
40,4.501469,0.028844,0.000000
41,4.890865,0.403339,0.000000
42,5.007116,0.026150,0.000000
43,4.712656,0.026150,0.000000
44,3.876076,0.621033,0.000000
45,4.275053,0.954858,0.000000
46,3.847877,0.697336,0.000000
47,3.282057,0.078195,0.000000
48,3.789642,0.032430,0.000000
49,4.414740,0.450303,0.000000
50,5.283105,0.058184,0.000000
51,0.000000,0.000000,0.000000
1,0.000000,0.576658,0.000000
2,0.840455,0.925173,0.000000
3,1.783718,0.915254,0.000000
4,1.678747,0.456510,0.000000
5,1.169762,0.056510,0.000000
6,0.850080,0.084968,0.000000
7,1.607720,0.039583,0.000000
8,1.366781,0.583066,0.000000
9,0.960432,0.077068,0.000000
10,0.064769,0.215578,0.000000
11,0.739446,0.017095,0.000000
12,1.338843,0.056756,0.000000
13,1.812726,0.056756,0.000000
14,0.968684,0.442261,0.000000
15,1.724652,0.294884,0.000000
16,2.071492,0.045127,0.000000
17,1.694567,0.045127,0.000000
18,0.751492,0.045127,0.000000
19,0.375044,0.697678,0.000000
20,0.434707,0.000219,0.000000
21,0.415189,0.125251,0.000000
22,1.198828,0.337657,0.000000
23,0.454713,0.951506,0.000000
24,0.025319,0.222283,0.000000
25,0.010088,0.930047,0.000000
26,0.010088,0.984585,0.000000
27,0.010088,0.984585,0.000000
28,0.010088,0.984585,0.000000
29,0.476628,0.984585,0.000000
30,0.770353,0.692873,0.000000
31,1.646363,0.086817,0.000000
32,1.711550,0.034976,0.000000
33,1.907839,0.034976,0.000000
34,1.218781,0.588997,0.000000
35,1.624764,0.015167,0.000000
36,2.055635,0.219939,0.000000
37,1.247585,0.384322,0.000000
38,0.702380,0.535962,0.000000
39,1.408301,0.070239,0.000000
40,1.337493,0.070239,0.000000
41,0.947064,0.870770,0.000000
42,0.586027,0.576050,0.000000
43,1.581822,0.041316,0.000000
44,1.096277,0.560183,0.000000
45,1.300092,0.800997,0.000000
46,0.590928,0.576413,0.000000
47,1.347076,0.398559,0.000000
48,1.686162,0.040542,0.000000
