step,x,y,reward
0,0.443552,7.443336,0.000000
1,0.034801,6.465844,0.000000
2,0.004503,6.177322,0.000000
3,0.070559,5.651908,0.000000
4,0.402341,5.894219,0.000000
5,0.943429,5.135314,0.000000
6,0.246775,4.346917,0.000000
7,0.053489,4.912646,0.000000
8,0.834426,5.746072,0.000000
9,0.982327,6.400600,0.000000
10,0.744306,7.301259,0.000000
11,0.046847,6.942501,0.000000
12,0.218229,7.832772,0.000000
13,0.260476,7.374495,0.000000
14,0.931053,6.579117,0.000000
15,0.056757,7.335536,0.000000
16,0.056757,7.444799,0.000000
17,0.003670,6.695368,0.000000
18,0.003670,5.914376,0.000000
19,0.000102,5.971988,0.000000
20,0.227941,5.474404,0.000000
21,0.481305,5.273612,0.000000
22,0.545199,4.751807,0.000000
23,0.986461,4.197753,0.000000
24,0.986461,5.153732,0.000000
25,0.623296,4.864435,0.000000
26,0.921026,4.834744,0.000000
27,0.666410,4.444598,0.000000
28,0.971829,3.552736,0.000000
29,0.990297,3.408328,0.000000
30,0.611555,4.051264,0.000000
31,0.441857,4.483509,0.000000
32,0.801478,5.093953,0.000000
33,0.942769,5.902787,0.000000
34,0.989362,5.881775,0.000000
35,0.989362,5.116097,0.000000
36,0.989362,5.426695,0.000000
37,0.064014,5.005394,0.000000
38,0.274344,5.317588,0.000000
39,0.472182,4.927526,0.000000
40,0.987987,5.865980,0.000000
41,0.987987,5.359196,0.000000
42,0.987987,4.593678,0.000000
43,0.987987,5.507551,0.000000
44,0.203502,5.072303,0.000000
45,0.959000,4.335471,0.000000
46,0.959000,3.438151,0.000000
47,0.959000,3.288936,1.000000
48,1.029453,2.908670,1.000000
49,0.731199,3.055968,1.000000
50,0.297412,3.662748,0.000000
51,0.188745,3.643896,0.000000
1,0.997618,3.305390,0.000000
2,1.306202,2.494822,0.000000
3,1.456760,2.118968,0.000000
4,1.398305,2.772111,0.000000
5,1.072730,2.977021,0.000000
6,0.706315,2.256194,0.000000
7,1.159608,2.029507,0.000000
8,0.520799,2.410538,0.000000
9,0.943715,2.398757,0.000000
10,0.211688,3.376940,0.000000
11,0.911688,4.094337,0.000000
12,0.975441,3.597358,0.000000
13,0.975441,4.317119,0.000000
14,0.547045,3.836396,0.000000
15,0.617297,3.745795,0.000000
16,0.027665,4.208861,0.000000
17,0.618162,4.913832,0.000000
18,0.343448,4.439350,0.000000
19,0.654450,3.815808,0.000000
20,0.303742,4.785375,0.000000
21,0.750813,5.125548,0.000000
22,0.996487,4.428964,0.000000
23,0.128796,4.183561,0.000000
24,0.333078,5.101910,0.000000
25,0.018685,5.925188,0.000000
26,0.018685,5.939454,0.000000
27,0.841202,6.900234,0.000000
28,0.478236,7.288671,0.000000
29,0.011947,7.873479,0.000000
30,0.609967,8.562894,0.000000
31,0.032605,8.982956,0.000000
32,0.210116,8.982956,0.000000
33,0.309237,8.376796,0.000000
34,0.046002,7.568949,0.000000
35,0.544917,8.500304,0.000000
36,1.162087,8.960063,0.000000
37,0.764067,8.435739,0.000000
38,1.336861,8.048637,0.000000
39,2.066588,8.897810,0.000000
40,2.100802,8.275846,0.000000
41,2.537404,8.065701,0.000000
42,3.456682,7.360395,0.000000
43,2.819368,8.260395,0.000000
44,2.632800,7.812910,0.000000
45,1.842016,8.195114,0.000000
46,2.534716,7.678350,0.000000
47,2.181267,7.786794,0.000000
48,2.030360,7.574412,0.000000
49,1.677026,8.394955,0.000000
50,1.321628,8.965908,0.000000
51,2.980042,0.499203,0.000000
1,3.454313,0.929011,0.000000
2,2.629905,0.929011,0.000000
3,2.904323,0.573034,0.000000
4,2.099741,0.085918,0.000000
5,1.280426,0.028379,0.000000
6,0.610789,0.028379,0.000000
7,0.145376,0.028379,0.000000
8,0.835226,0.837047,0.000000
9,1.813564,0.977000,0.000000
10,2.445503,0.977000,0.000000
11,2.028270,0.977000,0.000000
12,1.532245,0.977000,0.000000
13,1.166450,0.207212,0.000000
14,1.572991,0.947040,0.000000
15,1.875288,0.567372,0.000000
16,2.422595,0.950598,0.000000
17,1.659873,0.068869,0.000000
18,0.929422,0.508129,0.000000
19,1.316378,0.290308,0.000000
20,1.324931,0.972034,0.000000
21,0.837155,0.972034,0.000000
22,1.137592,0.945718,0.000000
23,1.304300,0.945718,0.000000
24,2.191880,0.996919,0.000000
25,1.746082,0.293751,0.000000
26,1.143970,0.018310,0.000000
27,0.990902,0.319152,0.000000
28,1.688924,0.726448,0.000000
29,0.763135,0.286260,0.000000
30,1.253722,0.948086,0.000000
31,1.981675,0.854554,0.000000
32,2.178478,0.964525,0.000000
33,2.657578,0.280271,0.000000
34,2.829445,0.667750,0.000000
35,3.301391,0.531219,0.000000
36,4.286245,0.012894,0.000000
37,3.748134,0.012894,0.000000
38,4.553983,0.706310,0.000000
39,5.231674,0.702429,0.000000
40,5.232578,0.930804,0.000000
41,5.032943,0.930804,0.000000
