step,x,y,reward
0,0.000000,0.000000,0.000000
1,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000
3,0.453226,0.000000,0.000000
4,0.383501,0.000000,0.000000
5,0.154827,0.338661,0.000000
6,0.604640,0.115037,0.000000
7,0.353116,0.008876,0.000000
8,0.220766,0.861526,0.000000
9,1.177612,0.935187,0.000000
10,0.680719,0.004646,0.000000
11,1.146782,0.004646,0.000000
12,1.495322,0.909771,0.000000
13,1.244875,0.992053,0.000000
14,1.277660,0.183109,0.000000
15,0.536977,0.953555,0.000000
16,1.082443,0.729468,0.000000
17,1.227838,0.985947,0.000000
18,1.469745,0.997796,0.000000
19,0.682423,0.997796,0.000000
20,0.033609,0.997796,0.000000
21,0.033609,0.383094,0.000000
22,0.033609,0.055895,0.000000
23,0.073358,0.055895,0.000000
24,0.002579,0.698351,0.000000
25,0.002579,0.131372,0.000000
26,0.167810,0.795737,0.000000
27,0.029919,0.859405,0.000000
28,0.783722,0.933471,0.000000
29,0.658818,0.987232,0.000000
30,0.415351,0.277000,0.000000
31,0.552459,0.000382,0.000000
32,1.467259,0.000382,0.000000
33,1.217887,0.741461,0.000000
34,0.467079,0.866194,0.000000
35,0.027702,0.198176,0.000000
36,0.288173,0.009912,0.000000
37,0.007948,0.646487,0.000000
38,0.007948,0.966084,0.000000
39,0.007948,0.966084,0.000000
40,0.007948,0.133969,0.000000
41,0.536644,0.556675,0.000000
42,0.470192,0.055000,0.000000
43,0.360040,0.055000,0.000000
44,0.665083,0.381841,0.000000
45,0.517108,0.955209,0.000000
46,0.922748,0.955209,0.000000
47,0.063358,0.996154,0.000000
48,0.658389,0.996154,0.000000
49,1.479822,0.996154,0.000000
50,1.728891,0.996154,0.000000
51,0.000000,0.000000,0.000000
1,0.000000,0.526748,0.000000
2,0.914804,0.996210,0.000000
3,1.633434,0.568343,0.000000
4,1.570756,0.360862,0.000000
5,0.871205,0.947903,0.000000
6,0.528580,0.989295,0.000000
7,0.101653,0.989295,0.000000
8,0.017425,0.989295,0.000000
9,0.691968,0.669066,0.000000
10,0.525781,0.659430,0.000000
11,1.206159,0.007650,0.000000
12,0.809860,0.336551,0.000000
13,1.244746,0.052957,0.000000
14,1.841022,0.052957,0.000000
15,1.786433,0.002802,0.000000
16,1.275227,0.327806,0.000000
17,1.956106,0.945946,0.000000
18,2.381946,0.064785,0.000000
19,2.485918,0.726246,0.000000
20,2.356983,0.552671,0.000000
21,2.025863,0.974047,0.000000
22,1.455017,0.974047,0.000000
