step,x,y,reward
0,0.000000,0.000000,0.000000
1,0.000000,0.000000,0.000000
2,0.442300,0.000000,0.000000
3,0.412832,0.000000,0.000000
4,1.126457,0.000000,0.000000
5,1.439511,0.607145,0.000000
6,0.532683,0.065131,0.000000
7,0.041864,0.008533,0.000000
8,0.041864,0.331533,0.000000
9,0.009160,0.897557,0.000000
10,0.841599,0.982480,0.000000
11,1.162209,0.697604,0.000000
12,0.327932,0.004854,0.000000
13,1.218348,0.004854,0.000000
14,1.511510,0.980134,0.000000
15,1.331031,0.556868,0.000000
16,0.500579,0.032682,0.000000
17,0.758743,0.032682,0.000000
18,1.048915,0.786661,0.000000
19,1.595908,0.937592,0.000000
20,1.117242,0.979747,0.000000
21,1.625607,0.383270,0.000000
22,1.948225,0.639305,0.000000
23,2.630586,0.997149,0.000000
24,2.311282,0.997149,0.000000
25,1.575293,0.501594,0.000000
26,1.758546,0.708431,0.000000
27,1.814912,0.687638,0.000000
28,1.619246,0.964214,0.000000
29,1.924953,0.336317,0.000000
30,1.797191,0.039013,0.000000
31,2.084698,0.719280,0.000000
32,3.034035,0.032658,0.000000
33,3.812564,0.009612,0.000000
34,4.736041,0.009612,0.000000
35,4.146939,0.009612,0.000000
36,3.544976,0.866435,0.000000
37,2.933154,0.363330,0.000000
38,3.020886,0.065797,0.000000
39,2.610334,0.029035,0.000000
40,2.385458,0.238573,0.000000
41,1.817671,0.014850,0.000000
42,2.640846,0.987958,0.000000
43,2.373691,0.834163,0.000000
44,2.091374,0.998331,0.000000
45,1.653078,0.147070,0.000000
46,2.149350,0.212756,0.000000
47,2.918597,0.938267,0.000000
48,3.001528,0.938267,0.000000
49,3.251150,0.938267,0.000000
50,3.293262,0.126161,0.000000
51,0.000000,0.000000,0.000000
1,0.940339,0.813880,0.000000
2,1.444072,0.986079,0.000000
3,1.144863,0.986079,0.000000
4,2.008848,0.173906,0.000000
5,1.577325,0.034777,0.000000
6,2.193943,0.460856,0.000000
7,2.823393,0.734535,0.000000
8,1.990523,0.083778,0.000000
9,1.344227,0.083778,0.000000
10,0.568832,0.014557,0.000000
11,0.518537,0.654401,0.000000
12,1.037875,0.319286,0.000000
13,0.268524,0.043346,0.000000
14,0.001197,0.043346,0.000000
15,0.141956,0.594993,0.000000
16,0.062473,0.267078,0.000000
17,0.009152,0.160911,0.000000
18,0.130599,0.918310,0.000000
19,0.023493,0.455854,0.000000
20,0.837199,0.382943,0.000000
21,1.292568,0.038167,0.000000
22,0.651278,0.107331,0.000000
