step,x,y,reward
0,0.000000,0.000000,0.000000
1,0.414360,0.110798,0.000000
2,0.048379,0.015152,0.000000
3,0.048379,0.015152,0.000000
4,0.005495,0.015152,0.000000
5,0.005495,0.015152,0.000000
6,0.005495,0.455105,0.000000
7,0.005495,0.400992,0.000000
8,0.005495,0.003025,0.000000
9,0.944572,0.003025,0.000000
10,0.080803,0.203838,0.000000
11,0.020310,0.003431,0.000000
12,0.706513,0.003431,0.000000
13,0.051161,0.003431,0.000000
14,0.051161,0.003431,0.000000
15,0.455350,0.003431,0.000000
16,0.056488,0.220185,0.000000
17,0.056488,0.038598,0.000000
18,0.056488,0.160741,0.000000
19,0.632717,0.250311,0.000000
20,1.305846,0.019447,0.000000
21,1.557474,0.556687,0.000000
22,0.817750,0.010705,0.000000
23,1.661679,0.000945,0.000000
24,2.552703,0.249866,0.000000
25,2.574086,0.626630,0.000000
26,2.844191,0.539679,0.000000
27,2.286591,0.178889,0.000000
28,2.344406,0.742080,0.000000
29,2.105861,0.957972,0.000000
30,2.905648,0.075070,0.000000
31,1.960641,0.910176,0.000000
32,2.266431,0.171360,0.000000
33,1.466538,0.742707,0.000000
34,0.990257,0.981745,0.000000
35,1.046876,0.981745,0.000000
36,1.434449,0.981745,0.000000
37,0.923619,0.338163,0.000000
38,0.933047,0.979043,0.000000
39,0.354990,0.879907,0.000000
40,0.231561,0.992195,0.000000
41,0.014257,0.270888,0.000000
42,0.014257,0.002431,0.000000
43,0.014257,0.817834,0.000000
44,0.848130,0.528387,0.000000
45,1.213257,0.980699,0.000000
46,1.988524,0.372913,0.000000
47,2.886479,0.688345,0.000000
48,2.173407,0.959649,0.000000
49,2.567743,0.959649,0.000000
50,3.470181,0.959649,0.000000
51,0.000000,0.000000,0.000000
1,0.696466,0.123390,0.000000
2,1.434543,0.032924,0.000000
3,0.435705,0.523270,0.000000
4,0.701778,0.970214,0.000000
5,1.639033,0.970214,0.000000
6,1.028123,0.507818,0.000000
7,1.749997,0.989570,0.000000
8,1.453197,0.960952,0.000000
9,0.740138,0.960952,0.000000
10,0.651361,0.651416,0.000000
11,0.064081,0.767912,0.000000
12,0.310434,0.988834,0.000000
13,0.995838,0.988834,0.000000
14,1.619057,0.095277,0.000000
15,0.772737,0.028920,0.000000
16,0.541998,0.028920,0.000000
17,0.257577,0.100481,0.000000
18,0.007628,0.008827,0.000000
19,0.790091,0.008827,0.000000
20,0.136252,0.693549,0.000000
21,1.115043,0.963838,0.000000
22,0.255993,0.963838,0.000000
23,0.511219,0.963838,0.000000
24,0.546538,0.078306,0.000000
25,1.520332,0.488096,0.000000
26,0.538824,0.073453,0.000000
27,0.219289,0.018901,0.000000
28,1.039384,0.004985,0.000000
29,1.529209,0.916042,0.000000
30,1.547975,0.621552,0.000000
31,2.467121,0.961868,0.000000
32,2.833336,0.326350,0.000000
33,2.000283,0.917737,0.000000
34,2.255151,0.065918,0.000000
35,1.546221,0.566033,0.000000
36,1.685946,0.959074,0.000000
37,0.863361,0.983789,0.000000
38,0.287997,0.226846,0.000000
39,0.047500,0.452201,0.000000
40,0.542894,0.199370,0.000000
41,0.063156,0.039268,0.000000
42,0.063156,0.050325,0.000000
43,0.063156,0.910312,0.000000
44,0.063156,0.957698,0.000000
45,0.063156,0.957698,0.000000
46,0.985772,0.781644,0.000000
47,1.194335,0.948008,0.000000
48,0.773128,0.976762,0.000000
49,1.200491,0.866635,0.000000
50,0.840611,0.962574,0.000000
51,0.000000,0.000000,0.000000
1,0.000000,0.662133,0.000000
2,0.847652,0.913287,0.000000
3,0.012360,0.803542,0.000000
4,0.783426,0.945755,0.000000
5,0.143081,0.270622,0.000000
6,0.176058,0.181999,0.000000
7,0.037454,0.464903,0.000000
8,0.016320,0.543628,0.000000
9,0.458625,0.955770,0.000000
10,1.063066,0.995626,0.000000
11,0.769353,0.879899,0.000000
12,0.698107,0.014815,0.000000
13,0.665202,0.346364,0.000000
14,0.323596,0.023348,0.000000
15,0.012013,0.859815,0.000000
16,0.001753,0.846227,0.000000
17,0.001753,0.076248,0.000000
18,0.425180,0.021253,0.000000
19,0.865419,0.378009,0.000000
20,1.278754,0.086588,0.000000
21,0.503922,0.743834,0.000000
22,0.330872,0.076921,0.000000
23,0.039165,0.666461,0.000000
24,0.265386,0.928509,0.000000
25,0.663222,0.928509,0.000000
26,1.084161,0.988786,0.000000
27,1.101668,0.549624,0.000000
28,1.723643,0.312847,0.000000
29,1.609319,0.955418,0.000000
30,1.752577,0.955418,0.000000
31,2.457020,0.881382,0.000000
32,2.768763,0.010145,0.000000
33,2.396461,0.976170,0.000000
34,1.446137,0.604153,0.000000
35,2.228943,0.021470,0.000000
36,2.463228,0.623521,0.000000
37,1.997046,0.138679,0.000000
38,1.515885,0.266774,0.000000
39,2.072131,0.921365,0.000000
40,2.881952,0.921365,0.000000
41,1.939133,0.785617,0.000000
42,1.816191,0.673841,0.000000
43,1.751977,0.111092,0.000000
44,1.257071,0.124115,0.000000
45,1.682875,0.045250,0.000000
46,2.189328,0.045250,0.000000
47,2.563326,0.045250,0.000000
48,3.092970,0.003764,0.000000
49,3.981445,0.003764,0.000000
50,3.611307,0.003764,0.000000
51,0.000000,0.000000,0.000000
1,0.000000,0.000000,0.000000
2,0.000000,0.530719,0.000000
3,0.209616,0.982799,0.000000
4,0.029843,0.992973,0.000000
5,1.018065,0.747926,0.000000
6,1.969733,0.989491,0.000000
7,1.344927,0.989491,0.000000
8,1.585604,0.989491,0.000000
9,1.268628,0.989491,0.000000
10,1.609713,0.837251,0.000000
11,0.653759,0.998372,0.000000
12,1.255732,0.189513,0.000000
13,0.993377,0.956972,0.000000
14,1.875421,0.987591,0.000000
15,2.777582,0.987591,0.000000
16,3.542600,0.194092,0.000000
17,4.182524,0.919959,0.000000
18,3.509886,0.077519,0.000000
19,3.530273,0.014590,0.000000
20,3.558100,0.455253,0.000000
21,4.175671,0.009930,0.000000
22,4.185128,0.009930,0.000000
23,4.690004,0.000741,0.000000
24,4.152798,0.000741,0.000000
25,3.733358,0.758690,0.000000
26,3.706272,0.523263,0.000000
27,3.342885,0.206463,0.000000
28,3.263603,0.925948,0.000000
29,4.112059,0.984015,0.000000
30,4.831437,0.984015,0.000000
31,4.290991,0.984015,0.000000
32,3.418962,0.701224,0.000000
33,2.497053,0.813549,0.000000
34,2.500138,0.642123,0.000000
35,3.299166,0.001527,0.000000
36,4.222748,0.302328,0.000000
37,5.125665,0.396261,0.000000
38,5.717586,0.909093,0.000000
39,6.679374,0.461487,0.000000
40,6.804050,0.005142,0.000000
41,5.887045,0.563266,0.000000
42,5.335066,0.979441,0.000000
43,6.231973,0.236597,0.000000
44,6.164374,1.134565,0.000000
45,6.076596,1.908193,0.000000
46,6.080972,2.395701,0.000000
47,6.590135,2.916513,0.000000
48,5.980084,2.225013,0.000000
49,5.620049,2.032126,0.000000
50,5.204956,2.082821,0.000000
51,0.000000,0.000000,0.000000
1,0.000000,0.000000,0.000000
2,0.671708,0.240601,0.000000
3,0.961764,0.181404,0.000000
4,0.750612,0.089851,0.000000
5,1.412133,0.015836,0.000000
6,1.200824,0.015836,0.000000
7,1.762973,0.354368,0.000000
8,1.227363,0.557039,0.000000
9,0.997301,0.983687,0.000000
10,1.804906,0.515045,0.000000
11,1.725463,0.664671,0.000000
12,1.139216,0.266741,0.000000
13,0.241862,0.946837,0.000000
14,1.061829,0.103768,0.000000
15,1.321100,0.927160,0.000000
16,2.196650,0.343622,0.000000
17,1.992916,0.061990,0.000000
18,2.746713,0.809743,0.000000
19,3.716437,0.998878,0.000000
20,3.257679,0.998878,0.000000
21,3.186532,0.146762,0.000000
22,2.445458,0.273472,0.000000
23,3.292389,0.780815,0.000000
24,2.945158,0.857113,0.000000
25,2.417041,0.971534,0.000000
26,1.417041,0.996450,0.000000
27,1.045703,0.083471,0.000000
28,0.064057,0.083471,0.000000
29,0.187185,0.182826,0.000000
30,0.036273,0.006791,0.000000
31,0.100133,0.006791,0.000000
32,0.007755,0.214566,0.000000
33,0.007755,0.962885,0.000000
34,0.218030,0.222004,0.000000
35,0.180701,0.033527,0.000000
36,0.029110,0.010519,0.000000
37,0.404212,0.010519,0.000000
38,0.058100,0.010519,0.000000
39,0.266736,0.308708,0.000000
40,0.080236,0.232336,0.000000
41,0.459517,0.881625,0.000000
42,1.332468,0.751065,0.000000
43,1.143531,0.019815,0.000000
44,1.566350,0.702582,0.000000
45,0.821855,0.999892,0.000000
46,1.813917,0.628158,0.000000
47,1.666396,0.001068,0.000000
48,2.022599,0.136149,0.000000
49,1.409909,0.007604,0.000000
50,0.709411,0.440016,0.000000
51,0.000000,0.000000,0.000000
1,0.000000,0.000000,0.000000
2,0.649719,0.742943,0.000000
3,0.288642,0.955522,0.000000
4,0.210965,0.606022,0.000000
5,0.603477,0.630192,0.000000
6,0.557298,0.070496,0.000000
7,0.011255,0.258341,0.000000
8,0.011255,0.929839,0.000000
9,0.011255,0.996390,0.000000
10,0.589161,0.647925,0.000000
11,0.039726,0.680999,0.000000
12,0.036001,0.944332,0.000000
13,0.012309,0.997654,0.000000
14,0.853474,0.997654,0.000000
15,0.696106,0.997654,0.000000
16,1.039446,0.997654,0.000000
17,1.736971,0.055303,0.000000
18,1.206961,0.007007,0.000000
19,0.590415,0.835078,0.000000
20,0.031624,0.922800,0.000000
21,0.966301,0.574267,0.000000
22,1.763522,0.060562,0.000000
23,2.510852,0.060562,0.000000
24,2.922255,0.004583,0.000000
25,3.062330,0.327699,0.000000
26,2.841382,0.419573,0.000000
27,3.286666,0.033784,0.000000
28,2.425528,0.931611,0.000000
29,2.268115,0.307741,0.000000
30,1.992155,0.999932,0.000000
31,2.551811,0.626739,0.000000
32,2.495917,0.037881,0.000000
33,2.054396,0.699849,0.000000
34,1.253283,0.984008,0.000000
35,1.790539,0.984008,0.000000
