step,x,y,reward
0,0.000000,0.000000,0.000000
1,0.000000,0.189228,0.000000
2,0.000000,0.680955,0.000000
3,0.000000,0.959316,0.000000
4,0.000000,0.959316,0.000000
5,0.000000,0.361978,0.000000
6,0.187290,0.957212,0.000000
7,0.000065,0.325189,0.000000
8,0.659168,0.946068,0.000000
9,0.055370,0.988737,0.000000
10,0.300421,0.988737,0.000000
11,0.173358,0.738898,0.000000
12,0.037646,0.030036,0.000000
13,0.526454,0.761076,0.000000
14,0.102216,0.959044,0.000000
15,0.000585,0.959044,0.000000
16,0.000585,0.061888,0.000000
17,0.000585,0.032609,0.000000
18,0.000585,0.032609,0.000000
19,0.577348,0.173722,0.000000
20,0.042142,0.027559,0.000000
21,0.042142,0.976640,0.000000
22,0.009974,0.976640,0.000000
23,0.009974,0.976640,0.000000
24,0.009974,0.976640,0.000000
25,0.009974,0.063832,0.000000
26,0.009974,0.063832,0.000000
27,0.009974,0.004882,0.000000
28,1.005163,0.673985,0.000000
29,1.500440,0.977454,0.000000
30,0.751568,0.742163,0.000000
31,0.867891,0.299667,0.000000
32,1.173459,0.787900,0.000000
33,1.668623,0.333380,0.000000
34,2.581268,0.944900,0.000000
35,2.920467,0.987814,0.000000
36,2.705159,0.705640,0.000000
37,3.210817,0.048173,0.000000
38,3.350481,0.978388,0.000000
39,3.357240,0.978388,0.000000
40,4.276487,0.978388,0.000000
41,4.044909,0.161992,0.000000
42,3.428427,0.792815,0.000000
43,3.634955,0.988963,0.000000
44,3.632000,0.910128,0.000000
45,3.856489,0.987457,0.000000
46,2.925946,0.964482,0.000000
47,3.431142,0.964482,0.000000
48,2.441349,0.964482,0.000000
49,1.896460,0.944129,0.000000
50,2.321554,0.988030,0.000000
51,0.000000,0.000000,0.000000
1,0.655623,0.000000,0.000000
2,1.507114,0.636296,0.000000
3,0.576077,0.947219,0.000000
4,0.006018,0.892527,0.000000
5,0.006018,0.978201,0.000000
6,0.889376,0.437096,0.000000
7,0.400551,0.411831,0.000000
8,0.005172,0.016662,0.000000
9,0.842756,0.936321,0.000000
10,0.460538,0.124939,0.000000
11,1.436408,0.031155,0.000000
12,0.733543,0.099651,0.000000
13,0.361411,0.805143,0.000000
14,0.721085,0.026499,0.000000
15,0.851990,0.026499,0.000000
16,0.435066,0.475244,0.000000
17,0.839364,0.021421,0.000000
