step,x,y,reward
0,0.000000,0.000000,0.000000
1,0.048027,0.744181,0.000000
2,0.048027,0.677799,0.000000
3,0.900767,0.083889,0.000000
4,1.326917,0.909298,0.000000
5,1.614101,0.151210,0.000000
6,1.869843,0.220491,0.000000
7,1.331602,0.976485,0.000000
8,0.580682,0.994787,0.000000
9,0.081441,0.185870,0.000000
10,0.005831,0.827644,0.000000
11,0.682246,0.050459,0.000000
12,1.662263,0.761005,0.000000
13,1.803530,0.050595,0.000000
14,1.991409,0.003353,0.000000
15,2.473073,0.003353,0.000000
16,1.833519,0.003353,0.000000
17,1.735959,0.977842,0.000000
18,2.461039,0.704530,0.000000
19,2.523473,0.016833,0.000000
20,1.544350,0.016833,0.000000
21,1.178225,0.687516,0.000000
22,0.594572,0.617122,0.000000
23,0.588079,0.676170,0.000000
24,0.568742,0.513628,0.000000
25,1.494344,0.055835,0.000000
26,2.032637,0.352511,0.000000
27,1.045609,0.288374,0.000000
28,1.307862,0.963104,0.000000
29,0.917329,0.963104,0.000000
30,1.884396,0.643046,0.000000
31,1.147872,0.965434,0.000000
32,0.420441,0.152396,0.000000
33,1.165935,0.021997,0.000000
34,0.960406,0.021997,0.000000
35,0.211638,0.509687,0.000000
36,0.037618,0.957336,0.000000
37,0.260663,0.212498,0.000000
38,0.064314,0.412037,0.000000
39,0.104736,0.421379,0.000000
40,0.010996,0.623601,0.000000
41,0.500756,0.707581,0.000000
42,0.857988,0.267110,0.000000
43,0.900197,0.269011,0.000000
44,0.571316,0.933700,0.000000
45,0.611612,0.593349,0.000000
46,0.002131,0.288257,0.000000
47,0.531459,0.014585,0.000000
48,0.149006,0.847750,0.000000
49,0.252040,0.093121,0.000000
50,0.556720,0.600281,0.000000
51,0.000000,0.000000,0.000000
1,0.132233,0.000000,0.000000
2,1.018047,0.815639,0.000000
3,1.871215,0.077407,0.000000
4,0.956349,0.077407,0.000000
5,1.707739,0.907833,0.000000
6,1.613971,0.150598,0.000000
7,2.506094,0.739955,0.000000
8,2.103362,0.238054,0.000000
9,2.381001,0.876438,0.000000
10,2.088381,0.074545,0.000000
11,1.106737,0.074545,0.000000
12,1.254450,0.283442,0.000000
13,0.314040,0.971777,0.000000
14,0.741575,0.710083,0.000000
15,0.814688,0.833760,0.000000
16,1.683287,0.977814,0.000000
17,2.291255,0.267099,0.000000
18,2.157855,0.939252,0.000000
19,1.557092,0.079850,0.000000
20,1.134699,0.018428,0.000000
21,1.359360,0.623525,0.000000
22,1.906683,0.037447,0.000000
23,1.548748,0.037447,0.000000
24,1.912469,0.037447,0.000000
25,1.482178,0.378646,0.000000
26,2.329861,0.030543,0.000000
27,3.155652,0.804150,0.000000
28,3.277787,0.005006,0.000000
29,3.443246,0.280662,0.000000
30,2.762258,0.053139,0.000000
31,3.470033,0.053139,0.000000
32,4.359002,0.015740,0.000000
33,4.422428,0.313650,0.000000
34,4.286342,0.055770,0.000000
35,3.748790,0.014089,0.000000
36,4.507805,0.014089,0.000000
37,4.760240,0.014089,0.000000
38,4.456493,0.014089,0.000000
39,5.142169,0.232839,0.000000
40,4.423297,0.022246,0.000000
41,4.834761,0.403888,0.000000
42,4.955992,0.022656,0.000000
43,4.657234,0.022656,0.000000
44,3.833135,0.620627,0.000000
45,4.232472,0.944716,0.000000
46,3.808533,0.696494,0.000000
47,3.241955,0.070732,0.000000
48,3.786879,0.025353,0.000000
49,4.429085,0.461267,0.000000
50,5.295401,0.082327,0.000000
51,0.000000,0.000000,0.000000
1,0.000000,0.566690,0.000000
2,0.838910,0.908534,0.000000
3,1.777999,0.901159,0.000000
4,1.672715,0.442002,0.000000
5,1.155829,0.042002,0.000000
6,0.818809,0.081037,0.000000
7,1.575716,0.038424,0.000000
8,1.335358,0.581561,0.000000
9,0.928345,0.055772,0.000000
10,0.030606,0.186443,0.000000
11,0.710037,0.054217,0.000000
12,1.288966,0.088516,0.000000
13,1.758800,0.029712,0.000000
14,0.925821,0.418137,0.000000
15,1.691001,0.256393,0.000000
16,2.062357,0.006138,0.000000
17,1.674782,0.006138,0.000000
18,0.710770,0.006138,0.000000
19,0.315653,0.654379,0.000000
20,0.373963,0.041643,0.000000
21,0.332400,0.159637,0.000000
22,1.124356,0.385060,0.000000
23,0.403346,0.918194,0.000000
24,0.053437,0.209485,0.000000
25,0.005689,0.904840,0.000000
26,0.005689,0.957271,0.000000
27,0.005689,0.957271,0.000000
28,0.005689,0.957271,0.000000
29,0.486169,0.989571,0.000000
30,0.770703,0.685664,0.000000
31,1.645239,0.090148,0.000000
32,1.712893,0.039253,0.000000
33,1.927096,0.039253,0.000000
34,1.257108,0.588288,0.000000
35,1.655328,0.004664,0.000000
36,2.064055,0.210071,0.000000
37,1.258106,0.380342,0.000000
38,0.727398,0.506488,0.000000
39,1.419472,0.054887,0.000000
40,1.362050,0.054887,0.000000
41,0.994129,0.850223,0.000000
42,0.590246,0.546102,0.000000
43,1.571847,0.012467,0.000000
44,1.081493,0.568897,0.000000
45,1.301731,0.799751,0.000000
46,0.589457,0.577364,0.000000
47,1.354769,0.393703,0.000000
48,1.701537,0.034915,0.000000
49,0.768767,0.179445,0.000000
50,1.035790,0.011563,0.000000
51,0.000000,0.000000,0.000000
1,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000
3,0.768313,0.000000,0.000000
4,0.079973,0.349958,0.000000
5,0.008575,0.010609,0.000000
6,0.003373,0.982912,0.000000
7,0.003373,0.384336,0.000000
8,0.822470,0.562311,0.000000
9,1.700080,0.385490,0.000000
10,1.451167,0.025671,0.000000
11,0.625564,0.025671,0.000000
12,0.071643,0.220795,0.000000
13,0.824808,0.063392,0.000000
14,1.794570,0.525598,0.000000
15,1.555128,0.971805,0.000000
16,1.602439,0.971805,0.000000
17,2.336829,0.773546,0.000000
18,3.322623,0.931514,0.000000
19,3.153838,0.976380,0.000000
20,3.332236,0.328359,0.000000
21,2.403372,0.062217,0.000000
22,3.106390,0.650763,0.000000
23,3.151769,0.345090,0.000000
24,3.269644,0.932305,0.000000
25,2.915637,0.985711,0.000000
26,3.867424,0.200512,0.000000
27,4.113961,0.378056,0.000000
28,4.357021,0.015032,0.000000
29,4.651515,0.015032,0.000000
30,4.774508,0.015032,0.000000
31,5.028224,0.802844,0.000000
32,4.480946,0.993342,0.000000
33,4.063445,0.993342,0.000000
34,4.043716,0.274641,0.000000
35,4.175707,0.799587,0.000000
36,4.443850,0.119627,0.000000
37,4.243814,0.000488,0.000000
38,3.485919,0.000488,0.000000
39,4.322770,0.873630,0.000000
40,4.605555,0.957670,0.000000
41,4.670648,0.957670,0.000000
42,4.450552,0.994479,0.000000
43,4.026141,0.283972,0.000000
44,3.663219,0.496063,0.000000
45,4.215644,0.924039,0.000000
46,4.777390,0.260499,0.000000
47,4.616257,0.009699,0.000000
48,4.989973,0.009699,0.000000
49,5.847032,0.009699,0.000000
50,6.113257,0.009699,0.000000
51,0.000000,0.000000,0.000000
1,0.231617,0.112676,0.000000
2,0.050215,0.026121,0.000000
3,0.961381,0.677317,0.000000
4,1.561049,0.912580,0.000000
5,0.772622,0.386310,0.000000
6,0.031047,0.105773,0.000000
7,0.935168,0.021137,0.000000
8,1.824212,0.140239,0.000000
9,1.370912,0.042567,0.000000
10,1.616299,0.042567,0.000000
11,0.831325,0.042567,0.000000
12,0.798999,0.000908,0.000000
13,1.375493,0.000908,0.000000
14,1.600905,0.056529,0.000000
15,2.040305,0.336622,0.000000
16,2.481368,0.023824,0.000000
17,1.527148,0.012235,0.000000
18,1.619625,0.139557,0.000000
19,2.552979,0.087377,0.000000
20,2.065088,0.681979,0.000000
21,2.023729,0.315105,0.000000
22,1.138676,0.941406,0.000000
23,0.644306,0.898810,0.000000
24,0.897632,0.437735,0.000000
25,1.221961,0.045297,0.000000
26,1.218961,0.000759,0.000000
27,1.703690,0.000759,0.000000
28,1.749405,0.000759,0.000000
29,2.325512,0.000759,0.000000
30,2.659860,0.546075,0.000000
31,2.539455,0.041675,0.000000
32,2.350652,0.041675,0.000000
33,2.774679,0.760564,0.000000
34,3.254216,0.073387,0.000000
35,3.337438,0.018360,0.000000
36,3.791808,0.018360,0.000000
37,4.195311,0.455351,0.000000
38,3.318647,0.971726,0.000000
39,3.035419,0.386138,0.000000
40,2.192705,0.566173,0.000000
41,1.940243,0.059199,0.000000
42,2.106387,0.009495,0.000000
43,1.413238,0.009495,0.000000
44,2.384784,0.009495,0.000000
45,1.499429,0.009495,0.000000
46,2.281183,0.740310,0.000000
47,2.685776,0.067766,0.000000
48,2.771808,0.067766,0.000000
49,2.753524,0.833955,0.000000
50,3.339283,0.312844,0.000000
51,0.000000,0.000000,0.000000
1,0.098997,0.000000,0.000000
2,0.011997,0.664821,0.000000
3,0.057483,0.966891,0.000000
4,0.057483,0.044409,0.000000
5,0.140623,0.699425,0.000000
6,0.053361,0.169200,0.000000
7,0.008704,0.078007,0.000000
8,0.008704,0.078007,0.000000
9,0.715657,0.078007,0.000000
10,0.276692,0.731555,0.000000
11,0.053975,0.965982,0.000000
12,0.053975,0.965982,0.000000
13,0.454082,0.372454,0.000000
14,0.050661,0.862168,0.000000
15,0.050661,0.240230,0.000000
16,0.053878,0.072575,0.000000
17,0.002428,0.093871,0.000000
18,0.424490,0.311145,0.000000
19,0.842233,0.194540,0.000000
20,1.159038,0.011724,0.000000
21,0.699064,0.298019,0.000000
22,0.678018,0.590883,0.000000
23,1.646473,0.958063,0.000000
24,2.188862,0.958063,0.000000
25,2.758077,0.212344,0.000000
26,2.310624,0.443624,0.000000
27,2.085565,0.017515,0.000000
28,2.070965,0.929263,0.000000
29,1.787939,0.965257,0.000000
30,0.902541,0.996460,0.000000
31,0.230463,0.996460,0.000000
32,0.359860,0.996460,0.000000
33,0.671673,0.996460,0.000000
34,0.616993,0.984161,0.000000
35,0.070154,0.704688,0.000000
36,0.017163,0.018923,0.000000
37,0.017163,0.018923,0.000000
38,0.859674,0.887081,0.000000
39,0.705750,0.996025,0.000000
40,0.041722,0.996025,0.000000
41,0.013107,0.996025,0.000000
42,0.457899,0.819439,0.000000
43,0.055426,0.083060,0.000000
44,0.006911,0.044715,0.000000
45,0.543698,0.700691,0.000000
46,0.358835,0.197325,0.000000
47,0.264233,0.010526,0.000000
48,0.366280,0.010526,0.000000
49,0.015540,0.117869,0.000000
50,0.259091,0.003639,0.000000
51,0.000000,0.000000,0.000000
1,0.357634,0.000000,0.000000
2,0.643274,0.000000,0.000000
3,1.502154,0.000000,0.000000
4,0.936811,0.179192,0.000000
5,0.428185,0.012508,0.000000
6,0.828713,0.012508,0.000000
7,0.157278,0.012508,0.000000
8,0.004116,0.012508,0.000000
9,0.004116,0.581847,0.000000
10,0.004116,0.060642,0.000000
11,0.267724,0.060642,0.000000
12,0.020885,0.325971,0.000000
13,0.020885,0.327983,0.000000
14,0.004862,0.022927,0.000000
15,0.074955,0.003700,0.000000
16,0.022591,0.003700,0.000000
17,0.006694,0.003700,0.000000
18,0.644161,0.003700,0.000000
19,0.909157,0.339013,0.000000
20,1.037677,0.316049,0.000000
21,0.698672,0.378093,0.000000
22,0.030773,0.410326,0.000000
23,0.000490,0.985246,0.000000
24,0.000490,0.651196,0.000000
25,0.601497,0.984435,0.000000
26,0.641673,0.992973,0.000000
27,0.576125,0.992973,0.000000
28,0.128971,0.992973,0.000000
29,0.997082,0.900345,0.000000
30,0.647355,0.950700,0.000000
31,0.465182,0.973423,0.000000
32,1.424639,0.284638,0.000000
33,1.598192,0.016569,0.000000
34,1.730116,0.012720,0.000000
35,2.101723,0.826495,0.000000
36,2.697187,0.368576,0.000000
37,3.404227,0.102165,0.000000
38,3.884905,0.902051,0.000000
39,3.084105,0.964906,0.000000
40,3.149390,0.964906,0.000000
41,3.965085,0.993984,0.000000
42,3.935909,0.358949,0.000000
43,4.100080,0.378286,0.000000
44,3.303088,0.550230,0.000000
45,3.614237,0.961034,0.000000
46,2.627187,0.747245,0.000000
47,2.963809,0.040128,0.000000
48,3.911597,0.002870,0.000000
49,4.490509,0.860706,0.000000
50,4.501735,0.996201,0.000000
51,0.000000,0.000000,0.000000
1,0.982063,0.000000,0.000000
2,0.234351,0.696676,0.000000
3,0.046319,0.992124,0.000000
4,0.046319,0.395092,0.000000
5,0.972168,0.247302,0.000000
6,0.844564,0.076344,0.000000
7,1.567099,0.729024,0.000000
8,0.656312,0.994464,0.000000
9,0.995649,0.994464,0.000000
10,0.506465,0.994464,0.000000
11,0.043300,0.994464,0.000000
12,0.043300,0.994464,0.000000
13,0.761001,0.220053,0.000000
14,1.609291,0.359075,0.000000
15,2.405343,0.919692,0.000000
16,1.985872,0.722187,0.000000
17,2.425961,0.213921,0.000000
18,2.979285,0.024069,0.000000
19,3.202685,0.024069,0.000000
20,3.412304,0.024069,0.000000
21,3.495281,0.024069,0.000000
22,4.495281,0.010286,0.000000
23,4.870619,0.010286,0.000000
24,3.938978,0.878150,0.000000
25,3.863682,0.079892,0.000000
26,3.440629,0.266933,0.000000
27,4.440629,0.892068,0.000000
28,3.890371,0.989630,0.000000
29,3.937517,0.989630,0.000000
30,4.852050,0.818813,0.000000
31,5.459350,0.783629,0.000000
32,5.202067,0.965831,0.000000
33,4.721850,0.960265,0.000000
34,5.316134,0.987476,0.000000
35,4.680572,0.475898,0.000000
36,5.092373,0.097673,0.000000
37,5.080155,0.259578,0.000000
38,4.556012,0.953971,0.000000
39,5.108361,0.822277,0.000000
40,4.900740,0.917256,0.000000
41,5.641191,0.992941,0.000000
42,4.859733,0.992941,0.000000
43,4.632789,0.329631,0.000000
44,5.426608,0.630896,0.000000
45,5.225922,0.613411,0.000000
46,5.716600,0.905661,0.000000
47,5.639649,0.985988,0.000000
48,5.278094,0.995433,0.000000
49,5.079723,0.995433,0.000000
50,4.597706,0.995433,0.000000
51,0.000000,0.000000,0.000000
1,0.000000,0.000000,0.000000
2,0.000000,0.834217,0.000000
3,0.254895,0.400666,0.000000
4,0.784462,0.687334,0.000000
5,0.729017,0.974104,0.000000
6,1.728898,0.246915,0.000000
7,1.334921,0.560902,0.000000
8,1.586818,0.976168,0.000000
9,0.953146,0.976168,0.000000
10,1.897206,0.538457,0.000000
11,2.346454,0.238893,0.000000
12,3.160087,0.019929,0.000000
13,2.498364,0.866288,0.000000
14,2.851344,0.993326,0.000000
15,2.138050,0.993326,0.000000
16,2.431241,0.388264,0.000000
17,3.348297,0.039355,0.000000
18,3.491732,0.275683,0.000000
19,2.632748,0.865768,0.000000
20,2.831919,0.972600,0.000000
21,3.499796,0.100681,0.000000
22,4.465174,0.397433,0.000000
23,5.013291,0.669081,0.000000
24,5.274621,0.258749,0.000000
25,5.078690,0.076160,0.000000
26,4.690804,0.180036,0.000000
27,5.571698,0.039356,0.000000
28,5.137519,0.566293,0.000000
29,4.973468,0.943101,0.000000
30,4.463446,0.741664,0.000000
31,4.534657,0.832696,0.000000
32,3.877010,0.449559,0.000000
33,4.796688,0.002602,0.000000
34,4.368778,0.002602,0.000000
35,4.495855,0.002602,0.000000
36,4.527021,0.002602,0.000000
37,3.537112,0.174791,0.000000
38,3.896266,0.413459,0.000000
39,4.587607,0.034897,0.000000
40,4.645944,0.976956,0.000000
41,3.835809,0.998784,0.000000
42,3.956567,0.771270,0.000000
43,4.723842,0.951771,0.000000
44,5.010348,0.994416,0.000000
45,5.907852,0.468974,0.000000
46,6.647625,1.104071,0.000000
47,6.154459,1.755715,0.000000
48,6.198449,1.191377,0.000000
49,6.062703,1.534076,0.000000
50,6.228673,0.853449,0.000000
51,0.000000,0.000000,0.000000
1,0.000000,0.880931,0.000000
2,0.000000,0.245335,0.000000
3,0.000000,0.283137,0.000000
4,0.844372,0.267998,0.000000
5,0.564471,0.049572,0.000000
6,0.142689,0.049572,0.000000
7,0.208082,0.425039,0.000000
8,0.055675,0.503413,0.000000
9,0.149458,0.056518,0.000000
10,0.007731,0.566779,0.000000
11,0.118697,0.026756,0.000000
12,0.020678,0.026756,0.000000
13,0.020678,0.487742,0.000000
14,0.020678,0.899631,0.000000
15,0.801258,0.600240,0.000000
16,1.230472,0.339043,0.000000
17,0.553006,0.949969,0.000000
18,0.315737,0.998183,0.000000
19,1.186779,0.998183,0.000000
20,2.084033,0.721251,0.000000
21,2.908535,0.982729,0.000000
22,1.911248,0.150333,0.000000
23,2.303230,0.455712,0.000000
24,3.143562,0.646050,0.000000
25,3.101498,0.942807,0.000000
26,2.795269,0.942807,0.000000
27,2.260393,0.978295,0.000000
28,1.913645,0.244919,0.000000
29,1.786352,0.016232,0.000000
30,1.969690,0.003767,0.000000
31,2.399108,0.003767,0.000000
32,2.199302,0.003767,0.000000
