step,x,y,reward
0,0.000000,0.000000,0.000000
1,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000
3,0.067844,0.000000,0.000000
4,0.411208,0.258578,0.000000
5,0.941995,0.037937,0.000000
6,0.236708,0.037937,0.000000
7,0.042252,0.601388,0.000000
8,0.837571,0.926014,0.000000
9,1.001394,0.991565,0.000000
10,0.760620,0.991565,0.000000
11,0.074518,0.620112,0.000000
12,0.241375,0.975932,0.000000
13,0.261332,0.527642,0.000000
14,1.106011,0.050480,0.000000
15,0.122664,0.804651,0.000000
16,0.052813,0.925673,0.000000
17,0.002859,0.176692,0.000000
18,0.002859,0.021734,0.000000
19,0.000548,0.076439,0.000000
20,0.231164,0.028310,0.000000
21,0.470557,0.008963,0.000000
22,0.572187,0.008963,0.000000
23,1.079378,0.008963,0.000000
24,1.600047,0.944871,0.000000
25,1.278196,0.665965,0.000000
26,2.273092,0.635005,0.000000
27,1.992009,0.236213,0.000000
28,2.501269,0.060168,0.000000
29,2.675952,0.014500,0.000000
30,2.327018,0.633901,0.000000
31,2.153653,0.961356,0.000000
32,2.512518,0.961356,0.000000
33,3.215837,0.961356,0.000000
34,3.684541,0.928978,0.000000
35,4.254917,0.155883,0.000000
36,5.159259,0.448298,0.000000
37,4.231338,0.036938,0.000000
38,4.466661,0.338076,0.000000
39,4.643027,0.002751,0.000000
40,5.489383,0.943596,0.000000
41,6.133645,0.429703,0.000000
42,6.255569,0.060069,0.000000
43,6.991326,0.976581,0.000000
44,6.196892,0.513127,0.000000
45,7.149200,0.007746,0.000000
46,8.077378,0.007746,0.000000
47,8.662335,0.007746,0.000000
48,8.847019,0.007746,0.000000
49,8.565962,0.152484,0.000000
50,8.130905,0.764530,0.000000
51,0.000000,0.000000,0.000000
1,0.896047,0.000000,0.000000
2,1.402441,0.000000,0.000000
3,1.565051,0.000000,0.000000
4,1.504336,0.651008,0.000000
5,1.172217,0.967488,0.000000
6,0.804447,0.243264,0.000000
7,1.293109,0.022020,0.000000
8,0.647375,0.421848,0.000000
9,1.040053,0.444172,0.000000
10,0.299711,0.927220,0.000000
11,1.275111,0.999668,0.000000
12,1.922410,0.505946,0.000000
13,2.655685,0.999108,0.000000
14,2.196168,0.509627,0.000000
15,2.267844,0.436021,0.000000
16,1.621463,0.900872,0.000000
17,2.206055,0.971234,0.000000
18,1.913418,0.513490,0.000000
19,2.230578,0.009969,0.000000
20,1.872600,0.903667,0.000000
21,2.316982,0.977078,0.000000
22,2.950491,0.286497,0.000000
