delta_dist,episode_length,episode_return,evaluator_episodes,evaluator_steps,final_dist,init_dist,min_dist,steps_per_second,success,success_1000
0.85864925,50,0.0,1,50,10.455059,11.313708,9.138089,6.790392003550823,0.0,nan
2.951558,50,0.0,2,100,8.36215,11.313708,7.948615,44.18292892836669,0.0,0.0
0.704401,50,0.0,3,150,10.609307,11.313708,9.407873,31.888631135645653,0.0,0.0
3.083149,50,0.0,4,200,8.230559,11.313708,7.7885146,29.965153209854034,0.0,0.0
2.2648506,50,0.0,5,250,9.048858,11.313708,8.486507,37.10160680596187,0.0,0.0
0.1985445,50,0.0,6,300,11.115164,11.313708,9.138538,38.07216667029751,0.0,0.0
3.4883475,50,0.0,7,350,7.825361,11.313708,7.825361,39.99083919565697,0.0,0.0
3.4477615,50,0.0,8,400,7.865947,11.313708,7.43312,37.21665176274711,0.0,0.0
3.9192753,50,0.0,9,450,7.394433,11.313708,6.486062,46.78663583181591,0.0,0.0
5.0224004,50,0.0,10,500,6.291308,11.313708,6.251051,40.98608059581664,0.0,0.0
0.03880596,50,0.0,11,550,11.274902,11.313708,8.759088,38.8362488347192,0.0,0.0
5.327222,50,0.0,12,600,5.9864864,11.313708,5.36301,41.15113577340377,0.0,0.0
0.93807507,50,0.0,13,650,10.375633,11.313708,8.636083,40.0602407337083,0.0,0.0
1.2496128,50,0.0,14,700,10.0640955,11.313708,9.155376,45.38132917624034,0.0,0.0
4.2764673,50,0.0,15,750,7.037241,11.313708,6.266392,38.621149928149975,0.0,0.0
2.595271,50,0.0,16,800,8.718437,11.313708,7.8154182,43.77053878107989,0.0,0.0
1.6509657,50,0.0,17,850,9.662743,11.313708,9.337535,44.45765381508907,0.0,0.0
2.9043217,50,0.0,18,900,8.409387,11.313708,7.744843,46.64307621820349,0.0,0.0
5.964012,50,0.0,19,950,5.349696,11.313708,5.118039,39.545409717886486,0.0,0.0
1.0374031,50,0.0,20,1000,10.276305,11.313708,8.032091,40.4217668062469,0.0,0.0
1.9297895,50,0.0,21,1050,9.383919,11.313708,7.990988,34.03436556393794,0.0,0.0
0.6736288,50,0.0,22,1100,10.6400795,11.313708,7.720138,33.350990955173444,0.0,0.0
3.7916956,50,0.0,23,1150,7.5220127,11.313708,7.0882564,38.5565630850516,0.0,0.0
2.8090096,50,0.0,24,1200,8.504699,11.313708,8.107257,38.81934799698723,0.0,0.0
3.7245784,50,0.0,25,1250,7.58913,11.313708,7.545396,34.55463099828294,0.0,0.0
2.5597467,50,0.0,26,1300,8.753962,11.313708,7.352482,35.036621224271585,0.0,0.0
0.38883114,50,0.0,27,1350,10.924877,11.313708,7.8258405,34.42258049531767,0.0,0.0
2.8203793,50,0.0,28,1400,8.493329,11.313708,8.250168,42.64682346897918,0.0,0.0
2.6320658,50,0.0,29,1450,8.681643,11.313708,7.9691663,39.653022439866305,0.0,0.0
3.5155602,50,0.0,30,1500,7.798148,11.313708,7.3921947,37.109563841164885,0.0,0.0
1.7738352,50,0.0,31,1550,9.539873,11.313708,7.9686813,36.75401289854928,0.0,0.0
1.2970276,50,0.0,32,1600,10.016681,11.313708,8.687754,40.222837934617786,0.0,0.0
1.5698271,50,0.0,33,1650,9.743881,11.313708,9.743881,40.43493031698148,0.0,0.0
1.0619745,50,0.0,34,1700,10.251734,11.313708,8.4502,38.5960947337541,0.0,0.0
2.2258148,50,0.0,35,1750,9.0878935,11.313708,8.49724,37.59476214028302,0.0,0.0
0.45503616,50,0.0,36,1800,10.858672,11.313708,7.938888,32.35303192428119,0.0,0.0
0.8460083,50,0.0,37,1850,10.4677,11.313708,8.744717,28.148671121986183,0.0,0.0
1.0871878,50,0.0,38,1900,10.226521,11.313708,8.780093,24.53409940000517,0.0,0.0
2.0272388,50,0.0,39,1950,9.286469,11.313708,7.741002,32.27367819088443,0.0,0.0
1.848526,50,0.0,40,2000,9.465182,11.313708,8.600968,37.0283748864466,0.0,0.0
2.1010523,50,0.0,41,2050,9.212656,11.313708,8.265219,37.69330799059982,0.0,0.0
2.2390099,50,0.0,42,2100,9.074698,11.313708,9.071342,38.75742034374989,0.0,0.0
0.8700657,50,0.0,43,2150,10.443643,11.313708,9.159247,41.41526048646469,0.0,0.0
2.5984077,50,0.0,44,2200,8.715301,11.313708,7.9754725,36.64042968753412,0.0,0.0
3.2416058,50,0.0,45,2250,8.072103,11.313708,7.63374,41.5727185378089,0.0,0.0
1.6108265,50,0.0,46,2300,9.702882,11.313708,8.91788,37.53200145249235,0.0,0.0
3.329318,50,0.0,47,2350,7.9843903,11.313708,7.1734304,44.85580556107509,0.0,0.0
2.5927286,50,0.0,48,2400,8.72098,11.313708,7.5488863,39.34479621641934,0.0,0.0
1.3855162,50,0.0,49,2450,9.928192,11.313708,7.8325086,41.480458225955786,0.0,0.0
3.1201534,50,0.0,50,2500,8.193555,11.313708,6.075807,43.55337372960362,0.0,0.0
2.6632214,50,0.0,51,2550,8.650487,11.313708,8.474034,44.081680355099806,0.0,0.0
0.9060726,50,0.0,52,2600,10.407636,11.313708,9.171202,42.71877884887245,0.0,0.0
0.692647,50,0.0,53,2650,10.621061,11.313708,9.546304,40.477933115304914,0.0,0.0
2.5944939,50,0.0,54,2700,8.719214,11.313708,8.719214,37.311071903027425,0.0,0.0
1.758563,50,0.0,55,2750,9.555145,11.313708,8.105809,20.4138463790778,0.0,0.0
1.7162638,50,0.0,56,2800,9.597445,11.313708,7.7028966,23.461768535607337,0.0,0.0
0.6773653,50,0.0,57,2850,10.636343,11.313708,7.6998143,23.05439210952736,0.0,0.0
0.16066933,50,0.0,58,2900,11.153039,11.313708,7.724505,19.349212377136332,0.0,0.0
1.6493301,50,0.0,59,2950,9.664378,11.313708,9.512317,18.688327752935578,0.0,0.0
0.7694645,50,0.0,60,3000,10.544244,11.313708,7.930616,11.090070119911086,0.0,0.0
2.7323036,50,0.0,61,3050,8.581405,11.313708,7.5090504,20.19572155229032,0.0,0.0
3.0739508,50,0.0,62,3100,8.239758,11.313708,7.737323,32.62694961843082,0.0,0.0
3.4290333,50,0.0,63,3150,7.884675,11.313708,7.72711,31.096642903258047,0.0,0.0
2.2758455,50,0.0,64,3200,9.037863,11.313708,7.966523,26.099672365200668,0.0,0.0
5.7332053,50,0.0,65,3250,5.580503,11.313708,5.0369596,24.12604363172682,0.0,0.0
2.6625452,50,0.0,66,3300,8.651163,11.313708,7.3496814,25.278428275458726,0.0,0.0
4.7995863,50,0.0,67,3350,6.514122,11.313708,6.514122,27.92253675368715,0.0,0.0
1.589612,50,0.0,68,3400,9.724096,11.313708,8.093042,24.513084678562308,0.0,0.0
1.5105095,50,0.0,69,3450,9.803199,11.313708,7.6978383,24.207247034423165,0.0,0.0
0.73861694,50,0.0,70,3500,10.575091,11.313708,9.495422,24.861861882154304,0.0,0.0
