actor_episodes,actor_steps,delta_dist,delta_dist_10,delta_dist_100,delta_dist_1000,episode_length,episode_return,evaluator_episodes,evaluator_steps,final_dist,final_dist_10,final_dist_100,final_dist_1000,init_dist,init_dist_10,init_dist_100,init_dist_1000,min_dist,min_dist_10,min_dist_100,min_dist_1000,steps_per_second,success,success_1000
178,17800,2.422462,1.4414785,1.2689358,1.2507175,100,0.0,412,41200,4.648606,5.6295896,5.802132,5.8203506,7.071068,7.071068,7.071067,7.0710673,4.3749895,5.5558934,4.6414366,4.580971,3.603840749038635,0.0,0.0
182,18200,3.4254866,2.0106988,1.2762278,1.2814063,100,0.0,454,45400,3.6455812,5.0603695,5.79484,5.789661,7.071068,7.071068,7.071067,7.0710673,3.6455812,4.832329,4.6436286,4.568834,3.3230352850900187,0.0,0.0
186,18600,3.451524,2.9139252,1.3489201,1.3267255,100,0.0,492,49200,3.6195438,4.157143,5.722148,5.744342,7.071068,7.071068,7.071067,7.071067,3.6195438,3.9460683,4.6276107,4.548952,3.557554261175023,0.0,0.0
190,19000,3.3960311,3.3152108,1.4355272,1.3704275,100,0.0,529,52900,3.6750367,3.755857,5.635541,5.70064,7.071068,7.071068,7.071067,7.071068,3.6274683,3.6383255,4.6172094,4.529779,3.008564002000457,0.0,0.0
194,19400,3.4553194,3.419126,1.5208594,1.4121933,100,0.0,565,56500,3.6157484,3.6519418,5.5502086,5.6588745,7.071068,7.071068,7.071067,7.0710673,3.6157484,3.6287029,4.5960035,4.5114427,3.634020967803591,0.0,0.0
198,19800,3.1681793,3.4027476,1.5984962,1.4516919,100,0.0,607,60700,3.9028885,3.6683197,5.4725714,5.6193757,7.071068,7.071068,7.071067,7.0710683,3.6425452,3.628409,4.574452,4.493631,3.300296746304567,0.0,0.0
202,20200,3.4178207,3.3556914,1.6714761,1.4876969,100,0.0,645,64500,3.653247,3.7153764,5.3995914,5.58337,7.071068,7.071068,7.071067,7.071068,3.6479087,3.6379476,4.5596523,4.477216,3.70171389640058,0.0,0.0
206,20600,3.437119,3.3484929,1.7871807,1.5246758,100,0.0,682,68200,3.6339488,3.7225754,5.283887,5.546392,7.071068,7.071068,7.071067,7.071068,3.6227746,3.6418877,4.5517626,4.4610233,3.6489666303916306,0.0,0.0
210,21000,3.4352176,3.3940272,1.8672266,1.5606431,100,0.0,725,72500,3.6358502,3.6770406,5.2038417,5.510425,7.071068,7.071068,7.071067,7.0710673,3.6358502,3.6382148,4.5401397,4.4452257,3.223857509738434,0.0,0.0
214,21400,3.420236,3.4323025,1.9545937,1.5953329,100,0.0,760,76000,3.6508317,3.6387649,5.1164746,5.475735,7.071068,7.071068,7.071067,7.0710673,3.648581,3.6307678,4.514008,4.4301944,3.2309576582335797,0.0,0.0
