actor_episodes,actor_steps,delta_dist,episode_length,episode_return,evaluator_episodes,evaluator_steps,final_dist,init_dist,min_dist,steps_per_second,success,success_1000
188,9400,1.6730156,50,0.0,52,2600,9.640693,11.313708,7.7652655,41.367208458261004,0.0,0.0
192,9600,5.01983,50,0.0,53,2650,6.293878,11.313708,5.7749333,29.671118709687097,0.0,0.0
196,9800,3.5817552,50,0.0,54,2700,7.731953,11.313708,6.526221,19.857126165326196,0.0,0.0
200,10000,2.3904276,50,0.0,55,2750,8.923281,11.313708,8.400816,21.18284643084807,0.0,0.0
204,10200,5.735499,50,0.0,56,2800,5.5782094,11.313708,5.526576,26.333360958128345,0.0,0.0
208,10400,1.0433435,50,0.0,57,2850,10.270365,11.313708,8.035289,22.447895648934793,0.0,0.0
212,10600,3.1148872,50,0.0,58,2900,8.198821,11.313708,7.511369,12.808341369776338,0.0,0.0
216,10800,2.6798267,50,0.0,59,2950,8.633882,11.313708,8.633882,15.279418599424028,0.0,0.0
220,11000,2.8918962,50,0.0,60,3000,8.421812,11.313708,7.691205,14.315383471224104,0.0,0.0
223,11150,0.68023014,50,0.0,61,3050,10.633478,11.313708,8.199936,34.9909300472385,0.0,0.0
227,11350,7.0534134,50,0.0,62,3100,4.260295,11.313708,4.260295,33.721008386065826,0.0,0.0
231,11550,0.93029404,50,0.0,63,3150,10.383414,11.313708,9.099303,34.107774707884914,0.0,0.0
235,11750,3.6074228,50,0.0,64,3200,7.7062855,11.313708,5.042888,34.12178724028767,0.0,0.0
237,11850,3.9371638,50,0.0,65,3250,7.3765445,11.313708,7.009241,33.795951386992,0.0,0.0
240,12000,1.6283875,50,0.0,66,3300,9.685321,11.313708,8.838719,32.98214689564085,0.0,0.0
244,12200,0.03625393,50,0.0,67,3350,11.277454,11.313708,7.7831664,26.55045575611914,0.0,0.0
248,12400,1.3484592,50,0.0,68,3400,9.965249,11.313708,9.458742,33.94192935767329,0.0,0.0
252,12600,4.442017,50,0.0,69,3450,6.871691,11.313708,6.871691,27.911321100001665,0.0,0.0
252,12600,2.6564388,50,0.0,70,3500,8.6572695,11.313708,7.372717,30.78214295412296,0.0,0.0
252,12600,1.538291,50,0.0,72,3600,9.775417,11.313708,8.47328,101.48946899254443,0.0,0.0
252,12600,5.54812,50,0.0,74,3700,5.7655883,11.313708,5.195676,79.05386506554926,0.0,0.0
252,12600,5.199139,50,0.0,77,3850,6.114569,11.313708,5.3501835,113.14477597123731,0.0,0.0
252,12600,3.782075,50,0.0,80,4000,7.5316334,11.313708,7.5316334,116.00921810918126,0.0,0.0
252,12600,0.65849495,50,0.0,83,4150,10.655213,11.313708,8.426453,119.46548056733161,0.0,0.0
252,12600,3.362587,50,0.0,86,4300,7.9511213,11.313708,6.9869065,122.86744928203623,0.0,0.0
252,12600,0.36386967,50,0.0,89,4450,10.949839,11.313708,9.809782,117.39576073600743,0.0,0.0
252,12600,1.1806879,50,0.0,92,4600,10.13302,11.313708,8.957649,109.76612141755,0.0,0.0
252,12600,1.4676151,50,0.0,95,4750,9.846093,11.313708,8.307631,123.04327265516,0.0,0.0
252,12600,1.2196026,50,0.0,98,4900,10.094106,11.313708,7.3445115,118.67015313960812,0.0,0.0
252,12600,8.126373,50,0.0,101,5050,3.1873353,11.313708,3.1873353,48.74378224799699,0.0,0.0
252,12600,8.079333,50,0.0,106,5300,3.2343748,11.313708,3.2343748,192.87224542386974,0.0,0.0
252,12600,8.116184,50,0.0,110,5500,3.1975236,11.313708,3.1975236,214.54350150128644,0.0,0.0
252,12600,4.992108,50,0.0,114,5700,6.3216004,11.313708,4.69509,117.36941430359145,0.0,0.0
255,12750,0.6618748,50,0.0,116,5800,10.651834,11.313708,10.651834,66.30673288638816,0.0,0.0
